epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.08915,0,90.4464,0,0,0,0,0,0,41.6896,0,2e-05,2e-05,2e-05
2,13.8621,0,89.8288,0,0,0,0,0,0,41.7615,0,5.8812e-05,5.8812e-05,5.8812e-05
3,20.5611,0,88.4778,0,0,0,0,0,0,41.7919,0,9.604e-05,9.604e-05,9.604e-05
4,27.0025,0,87.3447,0,0,0,0,0,0,41.8017,0,0.000131684,0.000131684,0.000131684
5,33.3636,0,86.0558,0,0,0,0,0,0,41.8465,0,0.000165744,0.000165744,0.000165744
6,40.1248,0,84.4719,0,0,0,0,0,0,41.8987,0,0.00019822,0.00019822,0.00019822
7,46.7741,0,82.3269,0,0,0,0,0,0,41.8257,0,0.000229112,0.000229112,0.000229112
8,53.2266,0,79.5879,0,0,0,0,0,0,41.702,0,0.00025842,0.00025842,0.00025842
9,59.6357,0,77.1037,0,0,0,0,0,0,41.5178,0,0.000286144,0.000286144,0.000286144
10,66.0232,0,75.3313,0,0,0,0,0,0,41.178,0,0.000312284,0.000312284,0.000312284
11,72.1002,0,73.4319,0,0,0,0,0,0,40.7059,0,0.00033684,0.00033684,0.00033684
12,78.6468,0,71.7914,0,0,0,0,0,0,40.1375,0,0.000359812,0.000359812,0.000359812
13,84.834,0,69.555,0,0,0,0,0,0,39.6184,0,0.0003812,0.0003812,0.0003812
14,91.5446,0,68.0575,0,0,0,0,0,0,38.9562,0,0.000401004,0.000401004,0.000401004
15,97.9853,0,68.0516,0,0,0,0,0,0,37.9395,0,0.000419224,0.000419224,0.000419224
16,104.327,0,65.96,0,0,0,0,0,0,37.0975,0,0.00043586,0.00043586,0.00043586
17,110.823,0,64.9727,0,0,0,0,0,0,36.0498,0,0.000450912,0.000450912,0.000450912
18,117.515,0,62.8356,0,0,0,0,0,0,35.1777,0,0.00046438,0.00046438,0.00046438
19,123.703,0,61.9752,0,0,0,0,0,0,34.0824,0,0.000476264,0.000476264,0.000476264
20,130.344,0,60.6305,0,0,0,0,0,0,33.2743,0,0.000486564,0.000486564,0.000486564
21,136.905,0,59.5804,0,0,0,0,0,0,32.6502,0,0.00049528,0.00049528,0.00049528
22,143.146,0,58.4997,0,0,0,0,0,0,31.3887,0,0.000502412,0.000502412,0.000502412
23,149.776,0,59.6617,0,0,0,0,0,0,30.8259,0,0.00050796,0.00050796,0.00050796
24,156.494,0,56.8468,0,0,0,0,0,0,30.6305,0,0.000511924,0.000511924,0.000511924
25,163.02,0,58.9851,0,0,0,0,0,0,34.2416,0,0.000514304,0.000514304,0.000514304
26,169.709,0,55.5015,0,0,0,0,0,0,35.1756,0,0.0005151,0.0005151,0.0005151
27,176.23,0,55.1082,0,0,0,0,0,0,30.161,0,0.000514312,0.000514312,0.000514312
28,182.877,0,54.5894,0,0,0,0,0,0,30.161,0,0.00051194,0.00051194,0.00051194
29,189.266,0,55.4803,0,0,0,0,0,0,33.4692,0,0.000507984,0.000507984,0.000507984
30,195.68,0,55.503,0,0,0,0,0,0,335.56,0,0.000502444,0.000502444,0.000502444
31,202.239,0,53.4759,0,0,0,0,0,0,335.56,0,0.00049532,0.00049532,0.00049532
32,208.861,0,53.516,0,0,0,0,0,0,126.507,0,0.000486612,0.000486612,0.000486612
33,215.326,0,53.1105,0,0,0,0,0,0,54.2295,0,0.00047632,0.00047632,0.00047632
34,222.059,0,52.5566,0,0,0,0,0,0,54.2295,0,0.000464444,0.000464444,0.000464444
35,228.551,0,52.6757,0,0,0,0,0,0,162.496,0,0.000450984,0.000450984,0.000450984
36,235.038,0,52.8306,0,0,0,0,0,0,361.377,0,0.00043594,0.00043594,0.00043594
37,241.563,0,51.9426,0,0,0,0,0,0,361.377,0,0.000419312,0.000419312,0.000419312
38,248.043,0,51.7997,0,0,0,0,0,0,197.687,0,0.0004011,0.0004011,0.0004011
39,254.487,0,51.4919,0,0,0,0,0,0,50.5553,0,0.000381304,0.000381304,0.000381304
40,260.86,0,51.0102,0,0,0,0,0,0,50.5553,0,0.000359924,0.000359924,0.000359924
41,267.424,0,50.957,0,0,0,0,0,0,39.178,0,0.00033696,0.00033696,0.00033696
42,273.868,0,50.9992,0,0,0,0,0,0,69.7051,0,0.000312412,0.000312412,0.000312412
43,280.035,0,50.2364,0,0,0,0,0,0,69.7051,0,0.00028628,0.00028628,0.00028628
44,286.795,0,50.1067,0,0,0,0,0,0,94.5831,0,0.000258564,0.000258564,0.000258564
45,293.057,0,49.928,0,0,0,0,0,0,94.5831,0,0.000229264,0.000229264,0.000229264
46,299.369,0,50.0839,0,0,0,0,0,0,84.1211,0,0.00019838,0.00019838,0.00019838
47,305.672,0,49.7658,0,0,0,0,0,0,84.1211,0,0.000165912,0.000165912,0.000165912
48,312.23,0,49.9413,0,0,0,0,0,0,27.17,0,0.00013186,0.00013186,0.00013186
49,318.386,0,50.7485,0,0,0,0,0,0,27.17,0,9.6224e-05,9.6224e-05,9.6224e-05
50,324.444,0,49.8745,0,0,0,0,0,0,24.9713,0,5.9004e-05,5.9004e-05,5.9004e-05
